esenario ;pérdida de tiempo de viaje promedio
1;45.21
1;45.19
1;45.22
1;45.60
1;45.60
1;45.60
1;45.60
1;45.60
1;45.61
1;45.63
1;45.58
1;45.58
1;45.50
1;45.89
1;45.89
1;46.28
1;46.28
1;46.24
1;46.25
1;46.23
1;46.28
1;46.28
1;46.31
1;46.31
1;46.62
1;46.62
1;46.62
1;46.62
1;46.66
1;46.66
1;46.66
1;46.62
1;46.62
1;46.62
1;46.62
1;46.62
1;46.62
1;46.59
1;46.61
1;46.60
1;46.61
1;46.58
1;46.56
1;46.56
1;46.56
1;46.57
1;46.59
1;46.53
1;46.54
1;46.54
1;46.55
1;46.55
1;46.55
1;46.55
1;46.50
1;46.53
1;46.53
1;46.50
1;46.46
1;46.40
1;46.40
1;46.40
1;46.29
1;46.29
1;46.28
1;46.28
1;46.53
1;46.53
1;46.52
1;46.60
1;46.58
1;46.58
1;46.54
1;46.54
1;46.54
1;46.95
1;46.93
1;46.93
1;47.30
1;47.30
1;47.32
1;47.33
1;47.71
1;47.71
1;47.64
1;47.64
1;47.62
1;47.56
1;47.54
1;47.52
1;47.49
1;47.49
1;47.47
1;47.51
1;47.51
1;47.49
1;47.47
1;47.46
1;47.46
1;47.46
1;47.82
1;47.80
1;47.80
1;47.83
1;47.81
1;47.78
1;47.78
1;47.80
1;47.80
1;47.80
1;47.80
1;47.80
1;48.18
1;48.14
1;48.14
1;48.13
1;48.13
1;48.14
1;48.14
1;48.05
1;48.05
1;48.05
1;48.05
1;48.03
1;48.03
1;48.02
1;48.02
1;48.02
1;48.01
1;48.01
1;48.01
1;48.00
1;48.00
1;47.94
1;47.93
1;48.23
1;48.27
1;48.27
1;48.27
1;48.27
1;48.27
1;48.25
1;48.24
1;48.24
1;48.21
1;48.18
1;48.18
1;48.16
1;48.14
1;48.12
1;48.15
1;48.15
1;48.12
1;48.13
1;48.09
1;48.08
1;48.08
1;48.13
1;48.10
1;48.08
1;48.06
1;48.04
1;48.04
1;48.04
1;48.04
1;48.09
1;48.09
1;48.09
1;48.09
1;48.09
1;48.09
1;48.05
1;48.10
1;48.06
1;48.04
1;48.02
1;47.98
1;47.97
1;47.97
1;47.94
1;47.88
1;47.88
1;47.85
1;47.85
1;47.83
1;47.81
1;47.79
1;47.80
1;47.80
1;47.80
1;47.82
1;47.82
1;47.80
1;47.84
1;47.84
1;47.84
1;47.82
1;47.82
1;47.82
1;47.79
1;47.79
1;47.78
1;47.75
1;47.75
1;47.72
1;47.70
1;47.70
1;47.70
1;47.68
1;47.68
1;47.66
1;47.65
1;47.65
1;47.69
1;47.69
1;47.72
1;47.72
1;47.72
1;47.71
1;47.71
1;47.71
1;47.71
1;47.67
1;47.70
1;48.16
1;48.16
1;48.14
1;48.14
1;48.10
1;48.08
1;48.09
1;48.09
1;48.35
1;48.36
1;48.35
1;48.73
1;48.73
1;48.73
1;48.76
1;48.74
1;49.32
1;49.31
1;49.31
1;49.31
1;49.32
1;49.32
1;49.32
1;49.32
1;49.33
