escenario;avg. trip duration [s]
escenario 1;159.94
escenario 1;160.12
escenario 1;160.44
escenario 1;160.33
escenario 1;160.50
escenario 1;160.50
escenario 1;160.55
escenario 1;160.55
escenario 1;160.55
escenario 1;160.55
escenario 1;160.46
escenario 1;160.59
escenario 1;160.59
escenario 1;160.50
escenario 1;160.43
escenario 1;160.45
escenario 1;160.45
escenario 1;160.45
escenario 1;160.18
escenario 1;160.18
escenario 1;160.19
escenario 1;160.19
escenario 1;160.62
escenario 1;160.60
escenario 1;160.63
escenario 1;160.84
escenario 1;160.91
escenario 1;160.91
escenario 1;160.82
escenario 1;160.82
escenario 1;160.82
escenario 1;161.25
escenario 1;161.25
escenario 1;161.25
escenario 1;161.67
escenario 1;161.67
escenario 1;161.63
escenario 1;161.67
escenario 1;162.21
escenario 1;162.21
escenario 1;162.31
escenario 1;162.31
escenario 1;162.32
escenario 1;162.19
escenario 1;162.41
escenario 1;162.38
escenario 1;162.37
escenario 1;162.37
escenario 1;162.48
escenario 1;162.91
escenario 1;162.91
escenario 1;163.03
escenario 1;162.97
escenario 1;162.95
escenario 1;162.95
escenario 1;162.95
escenario 1;163.37
escenario 1;163.34
escenario 1;163.34
escenario 1;163.54
escenario 1;163.56
escenario 1;163.55
escenario 1;163.55
escenario 1;163.78
escenario 1;163.83
escenario 1;163.83
escenario 1;163.83
escenario 1;163.83
escenario 1;164.30
escenario 1;164.33
escenario 1;164.33
escenario 1;164.31
escenario 1;164.31
escenario 1;164.40
escenario 1;164.40
escenario 1;164.35
escenario 1;164.35
escenario 1;164.42
escenario 1;164.42
escenario 1;164.54
escenario 1;164.54
escenario 1;164.58
escenario 1;164.58
escenario 1;164.58
escenario 1;164.56
escenario 1;164.56
escenario 1;164.56
escenario 1;164.56
escenario 1;164.56
escenario 1;164.52
escenario 1;164.52
escenario 1;164.71
escenario 1;165.14
escenario 1;165.14
escenario 1;165.14
escenario 1;165.14
escenario 1;165.14
escenario 1;165.07
escenario 1;164.99
escenario 1;164.99
escenario 1;164.94
escenario 1;164.86
escenario 1;164.86
escenario 1;164.78
escenario 1;164.84
escenario 1;164.84
escenario 1;165.00
escenario 1;165.00
escenario 1;164.94
escenario 1;165.06
escenario 1;164.94
escenario 1;164.89
escenario 1;164.89
escenario 1;164.97
escenario 1;164.86
escenario 1;165.07
escenario 1;165.08
escenario 1;165.08
escenario 1;165.08
escenario 1;165.08
escenario 1;165.13
escenario 1;165.28
escenario 1;165.36
escenario 1;165.36
escenario 1;165.36
escenario 1;165.36
escenario 1;165.36
escenario 1;165.29
escenario 1;165.51
escenario 1;165.41
escenario 1;165.29
escenario 1;165.29
escenario 1;165.25
escenario 1;165.25
escenario 1;165.25
escenario 1;165.52
escenario 1;165.37
escenario 1;165.51
escenario 1;165.62
escenario 1;165.62
escenario 1;165.56
escenario 1;165.62
escenario 1;165.63
escenario 1;165.63
escenario 1;165.63
escenario 1;165.63
escenario 1;165.69
escenario 1;165.69
escenario 1;165.72
escenario 1;165.92
escenario 1;165.92
escenario 1;165.95
escenario 1;165.90
escenario 1;165.90
escenario 1;165.90
escenario 1;165.98
escenario 1;165.98
escenario 1;166.10
escenario 1;166.06
escenario 1;166.06
escenario 1;166.04
escenario 1;166.10
escenario 1;166.10
escenario 1;166.37
escenario 1;166.38
escenario 1;166.49
escenario 1;166.45
escenario 1;166.38
escenario 1;166.38
escenario 1;166.51
escenario 1;166.57
escenario 1;166.66
escenario 1;166.66
escenario 1;166.66
escenario 1;166.68
escenario 1;166.68
escenario 1;166.68
escenario 1;166.70
escenario 1;166.57
escenario 1;166.71
escenario 1;167.17
escenario 1;167.26
escenario 1;167.24
escenario 1;167.24
escenario 1;167.15
escenario 1;167.07
escenario 1;167.03
escenario 1;167.03
escenario 1;167.32
escenario 1;167.39
escenario 1;167.35
escenario 1;167.61
escenario 1;167.61
escenario 1;167.61
escenario 1;167.64
escenario 1;167.62
escenario 1;168.18
escenario 1;168.24
escenario 1;168.24
escenario 1;168.24
escenario 1;168.33
escenario 1;168.33
escenario 1;168.49
escenario 1;168.50
escenario 1;168.57
escenario 1;168.62
escenario 1;168.51
escenario 1;168.56
escenario 1;168.61
escenario 1;168.73
escenario 1;168.86
escenario 1;168.86
escenario 1;168.88
escenario 1;168.88
escenario 1;168.82
escenario 1;168.78
escenario 1;168.78
escenario 1;168.96
escenario 1;169.49
escenario 1;169.52
escenario 1;169.85
escenario 1;169.84
escenario 1;169.84
escenario 1;169.95
escenario 1;169.95
escenario 1;169.98
escenario 1;170.08
escenario 1;170.18
escenario 1;170.18
escenario 1;170.18
escenario 1;170.29
escenario 1;170.29
escenario 1;170.26
escenario 1;170.26
escenario 1;170.19
escenario 1;170.14
escenario 1;170.14
escenario 1;170.14
escenario 1;170.05
escenario 1;170.05
escenario 1;170.05
escenario 1;170.05
escenario 1;170.04
escenario 1;170.04
escenario 1;170.00
escenario 1;170.06
escenario 1;170.05
escenario 1;170.17
escenario 1;170.31
escenario 1;170.65
escenario 1;170.65
escenario 1;170.65
escenario 1;171.03
escenario 1;171.03
escenario 1;170.97
escenario 1;170.93
escenario 1;170.97
escenario 1;170.97
escenario 1;170.97
escenario 1;170.97
escenario 1;170.89
escenario 1;170.89
escenario 1;170.96
escenario 1;170.96
escenario 1;170.96
escenario 1;170.99
escenario 1;171.24
escenario 1;171.53
escenario 1;171.51
escenario 1;171.58
escenario 1;171.53
