latencia;arquitectura
0.0273646;A1
0.0276739;A1
0.0277977;A1
0.0278321;A1
0.0279111;A1
0.0279723;A1
0.0281178;A1
0.0281733;A1
0.0282235;A1
0.0282658;A1
0.0282885;A1
0.0283503;A1
0.0283777;A1
0.0283874;A1
0.0283998;A1
0.0284333;A1
0.0284324;A1
0.0284314;A1
0.0284588;A1
0.0284841;A1
0.0284972;A1
0.0285114;A1
0.0285367;A1
0.0285597;A1
0.0285646;A1
0.0285644;A1
0.0285714;A1
0.0285718;A1
0.0285683;A1
0.0285738;A1
0.0285877;A1
0.0285954;A1
0.0285997;A1
0.028601;A1
0.0286001;A1
0.028619;A1
0.0286196;A1
0.0286239;A1
0.0286217;A1
0.0286151;A1
0.028626;A1
0.0286285;A1
0.028631;A1
0.0286338;A1
0.0286331;A1
0.0286366;A1
0.0286438;A1
0.0286404;A1
0.0286343;A1
0.028632;A1
0.0286333;A1
0.028633;A1
0.028635;A1
0.028636;A1
0.0286408;A1
0.028642;A1
0.0286422;A1
0.0286419;A1
0.0286438;A1
0.0286483;A1
0.0286478;A1
0.0286485;A1
0.0286482;A1
0.0286534;A1
0.0286538;A1
0.0286556;A1
0.0286573;A1
0.0286568;A1
0.0286546;A1
0.0286584;A1
0.0286649;A1
0.0286668;A1
0.0286636;A1
0.0286646;A1
0.0286581;A1
0.0286569;A1
0.0286541;A1
0.0286571;A1
0.0286565;A1
0.0286543;A1
0.0286565;A1
0.0286587;A1
0.0286585;A1
0.0286586;A1
0.0286583;A1
0.0286578;A1
0.0286565;A1
0.0286595;A1
0.0286599;A1
0.0286588;A1
0.0286597;A1
0.0286556;A1
0.0286524;A1
0.0286509;A1
0.028649;A1
0.0286515;A1
0.0286543;A1
0.0286524;A1
0.0286533;A1
0.0286535;A1
0.0187116;A2
0.0191561;A2
0.0191746;A2
0.0192456;A2
0.0192953;A2
0.0193395;A2
0.0193524;A2
0.019377;A2
0.0193837;A2
0.0194043;A2
0.0194182;A2
0.0194267;A2
0.0194364;A2
0.019451;A2
0.0194525;A2
0.0194549;A2
0.0194646;A2
0.0194706;A2
0.0194676;A2
0.0194837;A2
0.0194758;A2
0.0194808;A2
0.0194951;A2
0.019497;A2
0.019499;A2
0.019495;A2
0.0194961;A2
0.0195018;A2
0.0195051;A2
0.0194967;A2
0.0195071;A2
0.0195077;A2
0.0195054;A2
0.0195106;A2
0.0195134;A2
0.0195015;A2
0.0195024;A2
0.019502;A2
0.0195095;A2
0.0195119;A2
0.0195169;A2
0.0195219;A2
0.0195267;A2
0.01953;A2
0.0195309;A2
0.0195258;A2
0.0195248;A2
0.0195264;A2
0.0195266;A2
0.0195251;A2
0.0195214;A2
0.0195173;A2
0.0195218;A2
0.0195235;A2
0.019524;A2
0.0195274;A2
0.0195318;A2
0.01953;A2
0.0195292;A2
0.019528;A2
0.0195271;A2
0.0195262;A2
0.0195257;A2
0.0195293;A2
0.0195256;A2
0.0195271;A2
0.0195262;A2
0.019525;A2
0.0195253;A2
0.0195319;A2
0.0195325;A2
0.0195343;A2
0.0195371;A2
0.0195377;A2
0.0195386;A2
0.0195391;A2
0.0195396;A2
0.019543;A2
0.0195431;A2
0.0195413;A2
0.0195441;A2
0.0195455;A2
0.0195458;A2
0.0195463;A2
0.019546;A2
0.0195485;A2
0.0195514;A2
0.0195541;A2
0.0195537;A2
0.0195526;A2
0.0195537;A2
0.0195542;A2
0.0195548;A2
0.0195538;A2
0.0195539;A2
0.0195542;A2
0.0195491;A2
0.0195489;A2
0.0195475;A2
0.0195479;A2
0.0241849;A3
0.0240802;A3
0.0240621;A3
0.0241349;A3
0.0241191;A3
0.0241131;A3
0.0241216;A3
0.0241358;A3
0.0240949;A3
0.024074;A3
0.0240654;A3
0.0240767;A3
0.0240687;A3
0.0240806;A3
0.0240547;A3
0.0240662;A3
0.0240612;A3
0.0240683;A3
0.0240782;A3
0.0240816;A3
0.0240653;A3
0.0240633;A3
0.0240803;A3
0.0240774;A3
0.0240746;A3
0.0240925;A3
0.0240981;A3
0.0240959;A3
0.024095;A3
0.0240951;A3
0.0240966;A3
0.0241163;A3
0.024109;A3
0.0241055;A3
0.0241086;A3
0.0241144;A3
0.0241184;A3
0.0241201;A3
0.0241143;A3
0.0241109;A3
0.0241063;A3
0.0241;A3
0.0240979;A3
0.0241026;A3
0.0241031;A3
0.0241049;A3
0.0241026;A3
0.0241009;A3
0.0241049;A3
0.0241094;A3
0.0241028;A3
0.0241054;A3
0.024104;A3
0.0241111;A3
0.0241103;A3
0.0241065;A3
0.0241037;A3
0.0241027;A3
0.0241008;A3
0.0241036;A3
0.0241025;A3
0.0241025;A3
0.0240992;A3
0.0241002;A3
0.0241059;A3
0.0241005;A3
0.0241026;A3
0.024102;A3
0.0240996;A3
0.0241011;A3
0.0240964;A3
0.0240975;A3
0.024101;A3
0.024105;A3
0.024109;A3
0.0241099;A3
0.0241081;A3
0.0241072;A3
0.024103;A3
0.0241059;A3
0.0241114;A3
0.0241049;A3
0.0241063;A3
0.0241086;A3
0.024107;A3
0.024109;A3
0.0241062;A3
0.0241089;A3
0.024107;A3
0.024104;A3
0.0241049;A3
0.0241029;A3
0.0241027;A3
0.0241038;A3
0.0241063;A3
0.0241069;A3
0.0241061;A3
0.0241031;A3
0.0241004;A3
0.0241018;A3
